number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.8610662358642972,2026-05-02 00:09:56.841978,2026-05-02 00:10:02.789852,0 days 00:00:05.947874,7,sqrt,3,6,138,COMPLETE
1,0.9172046028627561,2026-05-02 00:10:02.790157,2026-05-02 00:10:09.993466,0 days 00:00:07.203309,11,sqrt,3,4,141,COMPLETE
2,0.9519930171661333,2026-05-02 00:10:09.993718,2026-05-02 00:10:23.996924,0 days 00:00:14.003206,15,log2,5,3,270,COMPLETE
3,0.9533799533799534,2026-05-02 00:10:23.997174,2026-05-02 00:10:31.346544,0 days 00:00:07.349370,15,log2,4,5,140,COMPLETE
4,0.945664739884393,2026-05-02 00:10:31.346778,2026-05-02 00:10:36.998910,0 days 00:00:05.652132,14,log2,5,2,106,COMPLETE
5,0.959812261660311,2026-05-02 00:10:36.999143,2026-05-02 00:10:45.469902,0 days 00:00:08.470759,15,log2,2,4,162,COMPLETE
6,0.9473074696004632,2026-05-02 00:10:45.470137,2026-05-02 00:10:53.089661,0 days 00:00:07.619524,14,sqrt,4,3,146,COMPLETE
7,0.9081803005008348,2026-05-02 00:10:53.089900,2026-05-02 00:11:04.563502,0 days 00:00:11.473602,10,log2,1,6,231,COMPLETE
8,0.9347826086956522,2026-05-02 00:11:04.563736,2026-05-02 00:11:18.194135,0 days 00:00:13.630399,12,log2,1,3,266,COMPLETE
9,0.9187517570986786,2026-05-02 00:11:18.194582,2026-05-02 00:11:26.938816,0 days 00:00:08.744234,11,sqrt,4,4,170,COMPLETE
